,User,Compound,Negative,Neutral,Positive,Time Stamp,Tweets Ago
142,@BBCWorld,0.0,1.0,0.0,0.0,Wed Jun 13 12:06:05 +0000 2018,42
143,@BBCWorld,0.0,1.0,0.0,0.0,Wed Jun 13 11:49:48 +0000 2018,43
144,@BBCWorld,0.0,1.0,0.0,0.0,Wed Jun 13 11:49:46 +0000 2018,44
145,@BBCWorld,0.0,1.0,0.0,0.0,Wed Jun 13 11:24:17 +0000 2018,45
146,@BBCWorld,0.0,1.0,0.0,0.0,Wed Jun 13 11:03:32 +0000 2018,46
147,@BBCWorld,0.5719,0.791,0.0,0.209,Wed Jun 13 10:58:41 +0000 2018,47
148,@BBCWorld,-0.4588,0.88,0.12,0.0,Wed Jun 13 10:57:45 +0000 2018,48
149,@BBCWorld,0.5423,0.708,0.092,0.2,Wed Jun 13 10:57:08 +0000 2018,49
150,@BBCWorld,0.5859,0.84,0.0,0.16,Wed Jun 13 10:40:09 +0000 2018,50
151,@BBCWorld,-0.4215,0.763,0.237,0.0,Wed Jun 13 10:38:01 +0000 2018,51
152,@BBCWorld,0.0,1.0,0.0,0.0,Wed Jun 13 10:24:53 +0000 2018,52
153,@BBCWorld,0.0,1.0,0.0,0.0,Wed Jun 13 10:07:51 +0000 2018,53
154,@BBCWorld,-0.296,0.714,0.286,0.0,Wed Jun 13 10:02:32 +0000 2018,54
155,@BBCWorld,0.3612,0.737,0.0,0.263,Wed Jun 13 09:11:24 +0000 2018,55
156,@BBCWorld,0.0,1.0,0.0,0.0,Wed Jun 13 08:50:40 +0000 2018,56
157,@BBCWorld,0.5106,0.805,0.054,0.142,Wed Jun 13 08:40:33 +0000 2018,57
158,@BBCWorld,0.0,1.0,0.0,0.0,Wed Jun 13 08:32:10 +0000 2018,58
159,@BBCWorld,0.5719,0.684,0.0,0.316,Wed Jun 13 08:13:10 +0000 2018,59
160,@BBCWorld,-0.1027,0.734,0.122,0.143,Wed Jun 13 07:18:58 +0000 2018,60
161,@BBCWorld,0.5719,0.684,0.0,0.316,Wed Jun 13 07:17:24 +0000 2018,61
162,@BBCWorld,-0.6705,0.476,0.524,0.0,Wed Jun 13 06:42:57 +0000 2018,62
163,@BBCWorld,0.296,0.804,0.0,0.196,Wed Jun 13 06:28:19 +0000 2018,63
164,@BBCWorld,-0.2023,0.816,0.184,0.0,Wed Jun 13 06:26:01 +0000 2018,64
165,@BBCWorld,0.0,1.0,0.0,0.0,Wed Jun 13 05:00:46 +0000 2018,65
166,@BBCWorld,0.0,1.0,0.0,0.0,Wed Jun 13 04:27:27 +0000 2018,66
167,@BBCWorld,-0.8271,0.539,0.461,0.0,Wed Jun 13 03:59:42 +0000 2018,67
168,@BBCWorld,-0.25,0.565,0.258,0.177,Wed Jun 13 03:43:26 +0000 2018,68
169,@BBCWorld,0.0,1.0,0.0,0.0,Wed Jun 13 03:36:34 +0000 2018,69
170,@BBCWorld,0.0,1.0,0.0,0.0,Wed Jun 13 03:06:16 +0000 2018,70
171,@BBCWorld,0.0,1.0,0.0,0.0,Tue Jun 12 23:37:10 +0000 2018,71
172,@BBCWorld,-0.5423,0.64,0.36,0.0,Tue Jun 12 23:34:36 +0000 2018,72
173,@BBCWorld,0.0,1.0,0.0,0.0,Tue Jun 12 23:06:19 +0000 2018,73
174,@BBCWorld,0.0,1.0,0.0,0.0,Tue Jun 12 23:06:19 +0000 2018,74
175,@BBCWorld,0.0,1.0,0.0,0.0,Tue Jun 12 22:40:19 +0000 2018,75
176,@BBCWorld,0.3565,0.836,0.051,0.113,Tue Jun 12 21:29:40 +0000 2018,76
177,@BBCWorld,0.847,0.686,0.0,0.314,Tue Jun 12 21:25:33 +0000 2018,77
178,@BBCWorld,0.3919,0.897,0.0,0.103,Tue Jun 12 21:25:24 +0000 2018,78
179,@BBCWorld,0.296,0.864,0.0,0.136,Tue Jun 12 21:25:05 +0000 2018,79
180,@BBCWorld,-0.7096,0.604,0.396,0.0,Tue Jun 12 21:18:49 +0000 2018,80
181,@BBCWorld,0.0,1.0,0.0,0.0,Tue Jun 12 20:59:32 +0000 2018,81
182,@BBCWorld,0.0,1.0,0.0,0.0,Tue Jun 12 20:57:08 +0000 2018,82
183,@BBCWorld,0.0772,0.843,0.0,0.157,Tue Jun 12 20:54:54 +0000 2018,83
184,@BBCWorld,-0.296,0.784,0.216,0.0,Tue Jun 12 20:54:54 +0000 2018,84
185,@BBCWorld,0.0,1.0,0.0,0.0,Tue Jun 12 20:52:58 +0000 2018,85
186,@BBCWorld,0.0,1.0,0.0,0.0,Tue Jun 12 20:20:41 +0000 2018,86
187,@BBCWorld,0.0,1.0,0.0,0.0,Tue Jun 12 18:37:34 +0000 2018,87
188,@BBCWorld,0.0,1.0,0.0,0.0,Tue Jun 12 18:05:58 +0000 2018,88
189,@BBCWorld,0.0,1.0,0.0,0.0,Tue Jun 12 16:55:28 +0000 2018,89
190,@BBCWorld,0.34,0.692,0.1,0.208,Tue Jun 12 16:53:14 +0000 2018,90
191,@BBCWorld,0.0,1.0,0.0,0.0,Tue Jun 12 16:20:12 +0000 2018,91
192,@BBCWorld,0.5859,0.678,0.0,0.322,Tue Jun 12 16:08:12 +0000 2018,92
193,@BBCWorld,-0.05,0.727,0.141,0.133,Tue Jun 12 15:50:24 +0000 2018,93
194,@BBCWorld,-0.1027,0.811,0.189,0.0,Tue Jun 12 15:42:33 +0000 2018,94
195,@BBCWorld,0.0,1.0,0.0,0.0,Tue Jun 12 15:14:31 +0000 2018,95
196,@BBCWorld,0.0,1.0,0.0,0.0,Tue Jun 12 15:08:54 +0000 2018,96
197,@BBCWorld,0.5859,0.513,0.0,0.487,Tue Jun 12 14:26:33 +0000 2018,97
198,@BBCWorld,-0.7269,0.355,0.477,0.168,Tue Jun 12 14:21:25 +0000 2018,98
199,@BBCWorld,0.4404,0.854,0.0,0.146,Tue Jun 12 13:51:00 +0000 2018,99
200,@CBSNews,0.0,1.0,0.0,0.0,Thu Jun 14 05:48:04 +0000 2018,0
201,@CBSNews,-0.296,0.804,0.196,0.0,Thu Jun 14 05:33:03 +0000 2018,1
202,@CBSNews,0.5423,0.741,0.0,0.259,Thu Jun 14 05:18:03 +0000 2018,2
203,@CBSNews,0.0,1.0,0.0,0.0,Thu Jun 14 05:03:04 +0000 2018,3
204,@CBSNews,0.0,1.0,0.0,0.0,Thu Jun 14 04:48:04 +0000 2018,4
205,@CBSNews,-0.5719,0.764,0.236,0.0,Thu Jun 14 04:33:03 +0000 2018,5
206,@CBSNews,0.3612,0.815,0.0,0.185,Thu Jun 14 04:18:04 +0000 2018,6
207,@CBSNews,0.0,1.0,0.0,0.0,Thu Jun 14 04:03:04 +0000 2018,7
208,@CBSNews,-0.7783,0.673,0.327,0.0,Thu Jun 14 03:48:04 +0000 2018,8
209,@CBSNews,0.0,1.0,0.0,0.0,Thu Jun 14 03:33:03 +0000 2018,9
210,@CBSNews,-0.1531,0.89,0.11,0.0,Thu Jun 14 03:18:03 +0000 2018,10
211,@CBSNews,0.0,1.0,0.0,0.0,Thu Jun 14 02:39:33 +0000 2018,11
212,@CBSNews,0.4215,0.859,0.0,0.141,Thu Jun 14 02:20:46 +0000 2018,12
213,@CBSNews,-0.1779,0.705,0.162,0.133,Thu Jun 14 02:00:01 +0000 2018,13
214,@CBSNews,-0.4939,0.752,0.173,0.075,Thu Jun 14 01:39:46 +0000 2018,14
215,@CBSNews,0.4019,0.886,0.0,0.114,Thu Jun 14 01:20:03 +0000 2018,15
216,@CBSNews,-0.6249,0.788,0.212,0.0,Thu Jun 14 01:00:01 +0000 2018,16
217,@CBSNews,0.4404,0.854,0.0,0.146,Thu Jun 14 00:39:33 +0000 2018,17
218,@CBSNews,0.0,1.0,0.0,0.0,Thu Jun 14 00:23:45 +0000 2018,18
219,@CBSNews,-0.0516,0.938,0.062,0.0,Thu Jun 14 00:01:22 +0000 2018,19
220,@CBSNews,0.0,1.0,0.0,0.0,Wed Jun 13 23:49:48 +0000 2018,20
221,@CBSNews,-0.0772,0.942,0.058,0.0,Wed Jun 13 23:29:58 +0000 2018,21
222,@CBSNews,-0.743,0.73,0.27,0.0,Wed Jun 13 23:10:01 +0000 2018,22
223,@CBSNews,0.0,1.0,0.0,0.0,Wed Jun 13 22:49:55 +0000 2018,23
224,@CBSNews,-0.6124,0.833,0.167,0.0,Wed Jun 13 22:30:03 +0000 2018,24
225,@CBSNews,0.4588,0.864,0.0,0.136,Wed Jun 13 22:09:32 +0000 2018,25
226,@CBSNews,0.4215,0.859,0.0,0.141,Wed Jun 13 21:50:38 +0000 2018,26
